   0.000000000000e+00   1.000000000004e-05
   3.141592653590e-01   7.418783226030e-06
   6.283185307180e-01   6.225097979252e-06
   9.424777960769e-01   5.529084403179e-06
   1.256637061436e+00   5.032809920678e-06
   1.570796326795e+00   4.626965595380e-06
   1.884955592154e+00   4.269350715637e-06
   2.199114857513e+00   3.943382442811e-06
   2.513274122872e+00   3.642542301812e-06
   2.827433388231e+00   3.364186917286e-06
   3.141592653590e+00   3.107026943375e-06
   3.455751918949e+00   2.870121828082e-06
   3.769911184308e+00   2.652515754013e-06
   4.084070449667e+00   2.453141371273e-06
   4.398229715026e+00   2.270828019065e-06
   4.712388980385e+00   2.104343262135e-06
   5.026548245744e+00   1.952438043759e-06
   5.340707511103e+00   1.813884465928e-06
   5.654866776462e+00   1.687503439842e-06
   5.969026041821e+00   1.572182818329e-06
   6.283185307180e+00   1.466887762570e-06
   6.597344572539e+00   1.370665261092e-06
   6.911503837898e+00   1.282644499484e-06
   7.225663103257e+00   1.202034446479e-06
   7.539822368616e+00   1.128119692783e-06
   7.853981633974e+00   1.060255298408e-06
   8.168140899333e+00   9.978611763995e-07
   8.482300164692e+00   9.404163781572e-07
   8.796459430051e+00   8.874535105585e-07
   9.110618695410e+00   8.385534327548e-07
   9.424777960769e+00   7.933403135411e-07
   9.738937226128e+00   7.514770881422e-07
   1.005309649149e+01   7.126613242547e-07
   1.036725575685e+01   6.766214887598e-07
   1.068141502221e+01   6.431135952082e-07
   1.099557428756e+01   6.119182058148e-07
   1.130973355292e+01   5.828377587777e-07
   1.162389281828e+01   5.556941909321e-07
   1.193805208364e+01   5.303268263143e-07
   1.225221134900e+01   5.065905034826e-07
   1.256637061436e+01   4.843539136167e-07
   1.288052987972e+01   4.634981292207e-07
   1.319468914508e+01   4.439152984371e-07
   1.350884841044e+01   4.255074878157e-07
   1.382300767580e+01   4.081856556136e-07
   1.413716694115e+01   3.918687404321e-07
   1.445132620651e+01   3.764828516400e-07
   1.476548547187e+01   3.619605496168e-07
   1.507964473723e+01   3.482402052684e-07
   1.539380400259e+01   3.352654295158e-07
   1.570796326795e+01   3.229845645994e-07
   1.602212253331e+01   3.113502300034e-07
   1.633628179867e+01   3.003189166915e-07
   1.665044106403e+01   2.898506241029e-07
   1.696460032938e+01   2.799085350282e-07
   1.727875959474e+01   2.704587240761e-07
   1.759291886010e+01   2.614698959535e-07
   1.790707812546e+01   2.529131502366e-07
   1.822123739082e+01   2.447617697036e-07
   1.853539665618e+01   2.369910296463e-07
   1.884955592154e+01   2.295780258828e-07
   1.916371518690e+01   2.225015194575e-07
   1.947787445226e+01   2.157417962497e-07
   1.979203371762e+01   2.092805399147e-07
